,source,author,title,description,url,urlToImage,publishedAt,content
94,"{'id': 'cbc-news', 'name': 'CBC News'}",,Self-isolating? NFB is streaming free titles including an Indigenous cinema library - CBC.ca,"The National Film of Canada has over 4,000 films, documentaries and short pieces available to stream for free and this includes a rich library of Indigenous content.",https://www.cbc.ca/news/indigenous/nfb-indigenous-cinema-free-self-isloating-1.5504434,https://i.cbc.ca/1.4587882.1521732001!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_620/nfb-indigenous-cinema.jpg,2020-03-21T10:00:00Z,People are selfisolating across the country to flatten the curve of the Covid pandemic but that doesnt mean you cant stay occupiedThe National Film Board of Canada has over  films documentaries and short pieces available to stream for free and   chars
95,"{'id': None, 'name': 'Sootoday.com'}",Brad Coccimiglio,Team Jacobs rebounds for key wins at Brier - SooToday.com,"Team Jacobs rebounds for key wins at Brier SooToday.com Kevin Koe (CAN) - Thin triple FTW vs. McEwen (WC) - 2020 Tim Hortons Brier Curling Canada Jacobs rink vows to 'fight, fight, fight' possibility of missing playoffs TSN Downtown Kingston, Ont. businesses …",https://www.sootoday.com/local-sports/team-jacobs-rebounds-for-key-wins-at-brier-2136737,https://www.vmcdn.ca/f/files/sootoday/images/sports/curling/2020-03-03-team-jacobs-brier-mb-cc.jpg;w=1200;h=800;mode=crop,2020-03-04T18:20:00Z,In the blink of an eye Team Northern Ontario which consists of Sault Ste Maries Brad Jacobs and his team from the Community First Curling Centre is back in the mix at the  Tim Hortons Brier in Kingston OntAfter dropping to  on Monday night wit  chars
96,"{'id': None, 'name': 'Youtube.com'}",,Coronavirus Pandemic: Everything That Happened Today in The Fight Against COVID-19 | NBC New York - NBC New York,Coronavirus Pandemic: Everything That Happened Today in The Fight Against COVID-19 | NBC New York NBC New York COVID-19 pandemic means it's time for Canada to get serious about aggressive social distancing: experts National Post Coronavirus in Canada: how to …,https://www.youtube.com/watch?v=1DCeUx4x9yw,https://i.ytimg.com/vi/1DCeUx4x9yw/maxresdefault.jpg,2020-03-12T23:45:17Z,There were a blizzard of updates and changes across our region and country in the attempt to get a handle on the novel coronavirus pandemic Andrew Siff Marc Santia Bruce Beck and Sarah Wallace all report
97,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Zack Whittaker,Better know a CSO: Indiana University Health’s Mitch Parker,"Mitch Parker has one of Indiana’s most critical jobs. As chief information security officer for Indiana University Health, Parker oversees cybersecurity for more than 30,000 employees at 18 hospitals across the state, along with countless numbers of computers…",http://techcrunch.com/2020/03/23/better-know-a-cso-indiana-university-healths-mitch-parker/,https://techcrunch.com/wp-content/uploads/2020/03/GettyImages-1160670986.jpg?w=599,2020-03-23T21:15:08Z,Mitch Parker has one of Indianas most critical jobsAs chief information security officer for Indiana University Health Parker oversees cybersecurity for more than  employees at  hospitals across the state along with countless numbers of computer  chars
98,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Darrell Etherington,"UK researchers develop new low-cost, rapid COVID-19 test that could even be used at home","A new type of test developed by UK researchers from the Brunel University London, Lancaster University and the University of Surrey can provide COVID-19 detection in as little as 30 minutes, using hand-held hardware that costs as little as £100 (around $120 U…",http://techcrunch.com/2020/03/25/uk-researchers-develop-new-low-cost-rapid-covid-19-test-that-could-even-be-used-at-home/,https://techcrunch.com/wp-content/uploads/2020/03/GettyImages-1209679043.jpg?w=711,2020-03-25T14:03:12Z,A new type of test developed by UK researchers from the Brunel University London Lancaster University and the University of Surrey can provide COVID detection in as little as  minutes using handheld hardware that costs as little as  around  U  chars
99,"{'id': 'cnn', 'name': 'CNN'}","Steve Almasy, CNN",Duke won't play in March Madness after university suspends sports competition,"Five-time national champion Duke University will not play in the NCAA men's basketball tournament because of coronavirus concerns, the school announced Thursday.",https://www.cnn.com/2020/03/12/us/march-madness-withdrawals-spt/index.html,https://cdn.cnn.com/cnnnext/dam/assets/200129113452-mike-krzyzewski-0128-super-tease.jpg,2020-03-12T19:58:35Z,CNNFivetime national champion Duke University will not play in the NCAA mens basketball tournament because of coronavirus concerns the school announced Thursday The private university in Durham North Carolina is suspending its sports programs for th  chars
100,"{'id': None, 'name': 'Lifehacker.com'}",Micaela Heck,"How to Stop Procrastinating, With Behavior Scientist BJ Fogg",Do you put things off ‘til the last minute? Are you one of the millions who tend to delay getting to your to-do list? Then you’re in luck—behavior scientist BJ Fogg joins us on this episode to talk about how to stop procrastinating thanks to his researched ap…,https://lifehacker.com/how-to-stop-procrastinating-with-behavior-scientist-bj-1842027698,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/ukzhhbrhsh6wqtzbfdug.jpg",2020-03-03T14:30:00Z,Do you put things off til the last minute Are you one of the millions who tend to delay getting to your todo list Then youre in luckbehavior scientist BJ Fogg joins us on this episode to talk about how to stop procrastinating thanks to his researched appro  chars
101,"{'id': 'cnn', 'name': 'CNN'}",,Doctor describes dire situation in hospitals treating virus,Columbia University Medical Center's Dr. Craig Spencer talks with CNN's Anderson Cooper about the dire situation facing hospitals as they try to treat patients with coronavirus.,https://www.cnn.com/videos/health/2020/03/25/craig-spencer-ny-hospital-trump-magical-thinking-sot-ac-vpx.cnn,https://cdn.cnn.com/cnnnext/dam/assets/200325002947-doctor-craig-spencer-may-24-2020-01-super-tease.jpg,2020-03-25T04:39:47Z,Chat with us in Facebook Messenger Find out whats happening in the world as it unfolds
102,"{'id': 'cnn', 'name': 'CNN'}",,3-D video shows Covid-19 attack patient's lungs,CT imaging from George Washington University Hospital shows the effects of Covid-19 on the lungs of a 59-year old man.,https://www.cnn.com/videos/us/2020/03/26/3d-video-shows-covid-19-attack-lungs.cnn,https://cdn.cnn.com/cnnnext/dam/assets/200325000535-covid-19-lung-damage-video-super-tease.jpg,2020-03-26T21:01:44Z,Chat with us in Facebook Messenger Find out whats happening in the world as it unfolds
103,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Natasha Mascarenhas,Coursedog lands $4.2 million to make class scheduling smarter,"Two years ago, dormmates Justin Wenig and Nicholas Diao struggled to get into a popular computer science class at Columbia University. The duo eventually got into that class, but after the initial frustration around class scheduling, they decided “it was an o…",http://techcrunch.com/2020/03/09/coursedog-lands-4-2-million-to-make-class-scheduling-smarter/,https://techcrunch.com/wp-content/uploads/2014/03/lecture-room-university.jpg?w=533,2020-03-09T18:58:46Z,Two years ago dormmates Justin Wenig and Nicholas Diao struggled to get into a popular computer science class at Columbia University  The duo eventually got into that class but after the initial frustration around class scheduling they decided it was an o  chars
104,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Steve O'Hear,AudioTelligence raises $8.5M Series A to bring its ‘autofocus for sound’ to voice assistants,"AudioTelligence, a startup that spun out of University of Cambridge-funded CEDAR Audio, has raised $8.5 million in Series A funding for its “autofocus for sound”. Leading the round is Octopus Ventures, with participation from existing investors Cambridge Inno…",http://techcrunch.com/2020/03/02/audiotelligence/,https://techcrunch.com/wp-content/uploads/2020/03/KenRoberts1.jpg?w=602,2020-03-02T09:00:56Z,AudioTelligence a startup that spun out of University of Cambridgefunded CEDAR Audio has raised  million in Series A funding for its autofocus for soundLeading the round is Octopus Ventures with participation from existing investors Cambridge Inn  chars
